experiment,representation,tuned_for,best_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_mcc,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_mcc,test_tn,test_fp,test_fn,test_tp
ProtBERT truncated + Logistic Regression,ProtBERT_truncated_1022,mcc,0.3800000000000003,0.706959706959707,0.6666666666666666,0.8321167883211679,0.5808823529411765,0.7402597402597403,0.746135680549592,0.7150484103666215,0.42685536601768653,79,57,23,114,0.5970695970695971,0.5637254901960784,0.8455882352941176,0.35036496350364965,0.6764705882352942,0.6370759982825247,0.6422789673606879,0.22544596465422767,48,89,21,115
ProtBERT truncated + Logistic Regression,ProtBERT_truncated_1022,f1,0.3800000000000003,0.706959706959707,0.6666666666666666,0.8321167883211679,0.5808823529411765,0.7402597402597403,0.746135680549592,0.7150484103666215,0.42685536601768653,79,57,23,114,0.5970695970695971,0.5637254901960784,0.8455882352941176,0.35036496350364965,0.6764705882352942,0.6370759982825247,0.6422789673606879,0.22544596465422767,48,89,21,115
ProtBERT truncated + Logistic Regression,ProtBERT_truncated_1022,balanced_accuracy,0.3830000000000003,0.706959706959707,0.6686390532544378,0.8248175182481752,0.5882352941176471,0.738562091503268,0.746135680549592,0.7150484103666215,0.4252803329894743,80,56,24,113,0.5934065934065934,0.5615763546798029,0.8382352941176471,0.35036496350364965,0.672566371681416,0.6370759982825247,0.6422789673606879,0.2159608262756479,48,89,22,114
ProtBERT truncated + Logistic Regression,ProtBERT_truncated_1022,youden_j,0.3830000000000003,0.706959706959707,0.6686390532544378,0.8248175182481752,0.5882352941176471,0.738562091503268,0.746135680549592,0.7150484103666215,0.4252803329894743,80,56,24,113,0.5934065934065934,0.5615763546798029,0.8382352941176471,0.35036496350364965,0.672566371681416,0.6370759982825247,0.6422789673606879,0.2159608262756479,48,89,22,114
ProtBERT sliding-window + Logistic Regression,ProtBERT_sliding_window_1022_stride_1022,mcc,0.4250000000000003,0.706959706959707,0.6862745098039216,0.7664233576642335,0.6470588235294118,0.7241379310344828,0.7386217260626879,0.7063550579299634,0.41653375160526085,88,48,32,105,0.5641025641025641,0.547486033519553,0.7205882352941176,0.40875912408759124,0.6222222222222222,0.6487226277372263,0.6551002354519113,0.13611214011319886,56,81,38,98
ProtBERT sliding-window + Logistic Regression,ProtBERT_sliding_window_1022_stride_1022,f1,0.34800000000000025,0.6813186813186813,0.631578947368421,0.8759124087591241,0.4852941176470588,0.7339449541284404,0.7386217260626879,0.7063550579299634,0.3926173431024896,66,70,17,120,0.5897435897435898,0.5530973451327433,0.9191176470588235,0.26277372262773724,0.6906077348066298,0.6487226277372263,0.6551002354519113,0.24090104423031328,36,101,11,125
ProtBERT sliding-window + Logistic Regression,ProtBERT_sliding_window_1022_stride_1022,balanced_accuracy,0.4250000000000003,0.706959706959707,0.6862745098039216,0.7664233576642335,0.6470588235294118,0.7241379310344828,0.7386217260626879,0.7063550579299634,0.41653375160526085,88,48,32,105,0.5641025641025641,0.547486033519553,0.7205882352941176,0.40875912408759124,0.6222222222222222,0.6487226277372263,0.6551002354519113,0.13611214011319886,56,81,38,98
ProtBERT sliding-window + Logistic Regression,ProtBERT_sliding_window_1022_stride_1022,youden_j,0.4250000000000003,0.706959706959707,0.6862745098039216,0.7664233576642335,0.6470588235294118,0.7241379310344828,0.7386217260626879,0.7063550579299634,0.41653375160526085,88,48,32,105,0.5641025641025641,0.547486033519553,0.7205882352941176,0.40875912408759124,0.6222222222222222,0.6487226277372263,0.6551002354519113,0.13611214011319886,56,81,38,98
