experiment,representation,tuned_for,best_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_mcc,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_mcc,test_tn,test_fp,test_fn,test_tp
ProtBERT truncated + Logistic Regression,ProtBERT_truncated_1022,mcc,0.3800000000000003,0.706959706959707,0.6666666666666666,0.8321167883211679,0.5808823529411765,0.7402597402597403,0.746135680549592,0.7150484103666215,0.42685536601768653,79,57,23,114,0.5970695970695971,0.5637254901960784,0.8455882352941176,0.35036496350364965,0.6764705882352942,0.6370759982825247,0.6422789673606879,0.22544596465422767,48,89,21,115
ProtBERT sliding-window + Logistic Regression,ProtBERT_sliding_window_1022_stride_1022,mcc,0.4250000000000003,0.706959706959707,0.6862745098039216,0.7664233576642335,0.6470588235294118,0.7241379310344828,0.7386217260626879,0.7063550579299634,0.41653375160526085,88,48,32,105,0.5641025641025641,0.547486033519553,0.7205882352941176,0.40875912408759124,0.6222222222222222,0.6487226277372263,0.6551002354519113,0.13611214011319886,56,81,38,98
