feature_index,feature_name,feature_group,feature_name_source
36,genomic_feature_251,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
37,genomic_feature_68,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
38,genomic_feature_248,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
39,genomic_feature_194,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
40,genomic_feature_51,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
41,genomic_feature_354,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
42,genomic_feature_62,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
43,genomic_feature_12,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
44,genomic_feature_94,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
45,genomic_feature_76,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
46,genomic_feature_353,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
47,genomic_feature_5,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
48,genomic_feature_36,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
49,genomic_feature_99,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
50,genomic_feature_9,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
51,genomic_feature_83,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
52,genomic_feature_96,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
53,genomic_feature_8,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
54,genomic_feature_20,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
55,genomic_feature_199,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
56,genomic_feature_166,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
57,genomic_feature_289,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
58,genomic_feature_284,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
59,genomic_feature_49,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
60,genomic_feature_25,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
61,genomic_feature_283,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
62,genomic_feature_78,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
63,genomic_feature_37,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
64,genomic_feature_197,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
65,genomic_feature_60,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
66,genomic_feature_272,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
67,genomic_feature_98,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
68,genomic_feature_138,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
69,genomic_feature_237,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
70,genomic_feature_273,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
71,genomic_feature_265,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
72,genomic_feature_105,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
73,genomic_feature_341,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
74,genomic_feature_274,Other_basic,loaded_from_file::/content/drive/MyDrive/Project_Protein/model/phase14_explainability_analysis/results/phase14_genomic_feature_permutation_importance_pr_auc.csv
