feature_index,old_feature_name,old_feature_group,importance_mean_pr_auc_drop,importance_sd_pr_auc_drop,feature_name,feature_group
274,genomic_feature_274,Other_basic,0.001154,0.000943,genomic_feature_116,Other_basic
77,genomic_feature_77,Other_basic,0.001136,0.000649,genomic_feature_67,Other_basic
260,genomic_feature_260,Other_basic,0.001116,0.001021,genomic_feature_279,Other_basic
67,genomic_feature_67,Other_basic,0.001103,0.001308,genomic_feature_98,Other_basic
145,genomic_feature_145,Other_basic,0.001103,0.000564,genomic_feature_14,Other_basic
24,genomic_feature_24,Other_basic,0.001103,0.001339,genomic_feature_174,Other_basic
7,genomic_feature_7,Other_basic,0.001071,0.000779,genomic_feature_54,Other_basic
103,genomic_feature_103,Other_basic,0.000983,0.000448,genomic_feature_17,Other_basic
302,genomic_feature_302,Other_basic,0.000973,0.001261,genomic_feature_211,Other_basic
193,genomic_feature_193,Other_basic,0.000957,0.000852,genomic_feature_73,Other_basic
146,genomic_feature_146,Other_basic,0.000936,0.000949,genomic_feature_332,Other_basic
303,genomic_feature_303,Other_basic,0.000931,0.001449,genomic_feature_114,Other_basic
121,genomic_feature_121,Other_basic,0.000913,0.000969,genomic_feature_219,Other_basic
235,genomic_feature_235,Other_basic,0.00088,0.000867,genomic_feature_234,Other_basic
338,genomic_feature_338,Other_basic,0.000874,0.000946,genomic_feature_318,Other_basic
250,genomic_feature_250,Other_basic,0.000864,0.001279,genomic_feature_207,Other_basic
242,genomic_feature_242,Other_basic,0.000861,0.00058,genomic_feature_164,Other_basic
337,genomic_feature_337,Other_basic,0.000853,0.001189,genomic_feature_168,Other_basic
29,genomic_feature_29,Other_basic,0.000849,0.000966,genomic_feature_66,Other_basic
317,genomic_feature_317,Other_basic,0.000848,0.00074,genomic_feature_74,Other_basic
115,genomic_feature_115,Other_basic,0.000836,0.000777,genomic_feature_262,Other_basic
351,genomic_feature_351,Other_basic,0.000831,0.000644,genomic_feature_189,Other_basic
59,genomic_feature_59,Other_basic,0.00083,0.000681,genomic_feature_49,Other_basic
180,genomic_feature_180,Other_basic,0.000824,0.001122,genomic_feature_122,Other_basic
117,genomic_feature_117,Other_basic,0.000823,0.000699,genomic_feature_196,Other_basic
137,genomic_feature_137,Other_basic,0.00081,0.001268,genomic_feature_316,Other_basic
155,genomic_feature_155,Other_basic,0.000799,0.000999,genomic_feature_344,Other_basic
16,genomic_feature_16,Other_basic,0.000781,0.000705,genomic_feature_228,Other_basic
226,genomic_feature_226,Other_basic,0.000777,0.000784,genomic_feature_188,Other_basic
17,genomic_feature_17,Other_basic,0.000773,0.001207,genomic_feature_80,Other_basic
58,genomic_feature_58,Other_basic,0.000769,0.001002,genomic_feature_284,Other_basic
158,genomic_feature_158,Other_basic,0.000764,0.000936,genomic_feature_230,Other_basic
184,genomic_feature_184,Other_basic,0.000744,0.000978,genomic_feature_141,Other_basic
38,genomic_feature_38,Other_basic,0.000737,0.000725,genomic_feature_248,Other_basic
71,genomic_feature_71,Other_basic,0.000731,0.001291,genomic_feature_265,Other_basic
160,genomic_feature_160,Other_basic,0.00073,0.000666,genomic_feature_225,Other_basic
165,genomic_feature_165,Other_basic,0.000694,0.000637,genomic_feature_91,Other_basic
41,genomic_feature_41,Other_basic,0.000686,0.001755,genomic_feature_354,Other_basic
65,genomic_feature_65,Other_basic,0.00066,0.001175,genomic_feature_60,Other_basic
53,genomic_feature_53,Other_basic,0.000652,0.00092,genomic_feature_8,Other_basic
182,genomic_feature_182,Other_basic,0.000651,0.000717,genomic_feature_314,Other_basic
262,genomic_feature_262,Other_basic,0.000641,0.001038,genomic_feature_132,Other_basic
196,genomic_feature_196,Other_basic,0.000638,0.000435,genomic_feature_169,Other_basic
331,genomic_feature_331,Other_basic,0.000638,0.001139,genomic_feature_269,Other_basic
128,genomic_feature_128,Other_basic,0.000619,0.000951,genomic_feature_301,Other_basic
200,genomic_feature_200,Other_basic,0.000584,0.000694,genomic_feature_129,Other_basic
233,genomic_feature_233,Other_basic,0.00058,0.00104,genomic_feature_224,Other_basic
219,genomic_feature_219,Other_basic,0.000551,0.000676,genomic_feature_176,Other_basic
339,genomic_feature_339,Other_basic,0.000541,0.000492,genomic_feature_33,Other_basic
22,genomic_feature_22,Other_basic,0.000523,0.000954,genomic_feature_178,Other_basic
222,genomic_feature_222,Other_basic,0.000501,0.000609,genomic_feature_333,Other_basic
112,genomic_feature_112,Other_basic,0.000495,0.000535,genomic_feature_65,Other_basic
107,genomic_feature_107,Other_basic,0.000493,0.000595,genomic_feature_38,Other_basic
48,genomic_feature_48,Other_basic,0.000474,0.000565,genomic_feature_36,Other_basic
301,genomic_feature_301,Other_basic,0.000473,0.000888,genomic_feature_143,Other_basic
163,genomic_feature_163,Other_basic,0.000472,0.000868,genomic_feature_161,Other_basic
277,genomic_feature_277,Other_basic,0.000471,0.000701,genomic_feature_134,Other_basic
50,genomic_feature_50,Other_basic,0.000466,0.000848,genomic_feature_9,Other_basic
323,genomic_feature_323,Other_basic,0.000461,0.000481,genomic_feature_173,Other_basic
39,genomic_feature_39,Other_basic,0.000457,0.000651,genomic_feature_194,Other_basic
43,genomic_feature_43,Other_basic,0.00043,0.001702,genomic_feature_12,Other_basic
315,genomic_feature_315,Other_basic,0.000425,0.001199,genomic_feature_249,Other_basic
44,genomic_feature_44,Other_basic,0.000424,0.000917,genomic_feature_94,Other_basic
316,genomic_feature_316,Other_basic,0.000408,0.000763,genomic_feature_46,Other_basic
347,genomic_feature_347,Other_basic,0.000396,0.000567,genomic_feature_47,Other_basic
3,genomic_feature_3,Other_basic,0.000392,0.00071,genomic_feature_268,Other_basic
140,genomic_feature_140,Other_basic,0.000381,0.000632,genomic_feature_140,Other_basic
19,genomic_feature_19,Other_basic,0.00037,0.00068,genomic_feature_171,Other_basic
190,genomic_feature_190,Other_basic,0.000356,0.000835,genomic_feature_247,Other_basic
287,genomic_feature_287,Other_basic,0.000354,0.00119,genomic_feature_327,Other_basic
322,genomic_feature_322,Other_basic,0.000342,0.001029,genomic_feature_119,Other_basic
14,genomic_feature_14,Other_basic,0.000334,0.000995,genomic_feature_118,Other_basic
332,genomic_feature_332,Other_basic,0.000334,0.000752,genomic_feature_111,Other_basic
293,genomic_feature_293,Other_basic,0.000333,0.000636,genomic_feature_93,Other_basic
264,genomic_feature_264,Other_basic,0.000326,0.000517,genomic_feature_280,Other_basic
123,genomic_feature_123,Other_basic,0.000313,0.000797,genomic_feature_22,Other_basic
261,genomic_feature_261,Other_basic,0.000307,0.000802,genomic_feature_135,Other_basic
256,genomic_feature_256,Other_basic,0.000294,0.000503,genomic_feature_210,Other_basic
296,genomic_feature_296,Other_basic,0.000293,0.000744,genomic_feature_70,Other_basic
231,genomic_feature_231,Other_basic,0.000293,0.000698,genomic_feature_340,Other_basic
355,genomic_feature_355,Other_basic,0.000275,0.00083,genomic_feature_27,Other_basic
344,genomic_feature_344,Other_basic,0.000263,0.00063,genomic_feature_221,Other_basic
142,genomic_feature_142,Other_basic,0.000259,0.00068,genomic_feature_190,Other_basic
310,genomic_feature_310,Other_basic,0.000259,0.001025,genomic_feature_64,Other_basic
230,genomic_feature_230,Other_basic,0.000257,0.000479,genomic_feature_244,Other_basic
87,genomic_feature_87,Other_basic,0.000255,0.000476,genomic_feature_235,Other_basic
225,genomic_feature_225,Other_basic,0.000255,0.001179,genomic_feature_208,Other_basic
214,genomic_feature_214,Other_basic,0.000251,0.000956,genomic_feature_312,Other_basic
181,genomic_feature_181,Other_basic,0.000241,0.000843,genomic_feature_61,Other_basic
161,genomic_feature_161,Other_basic,0.00024,0.000642,genomic_feature_214,Other_basic
23,genomic_feature_23,Other_basic,0.000239,0.00067,genomic_feature_79,Other_basic
91,genomic_feature_91,Other_basic,0.000233,0.000935,genomic_feature_337,Other_basic
345,genomic_feature_345,Other_basic,0.000225,0.000476,genomic_feature_136,Other_basic
45,genomic_feature_45,Other_basic,0.000224,0.000791,genomic_feature_76,Other_basic
281,genomic_feature_281,Other_basic,0.000219,0.000682,genomic_feature_257,Other_basic
104,genomic_feature_104,Other_basic,0.000213,0.000805,genomic_feature_58,Other_basic
306,genomic_feature_306,Other_basic,0.000204,0.000579,genomic_feature_55,Other_basic
325,genomic_feature_325,Other_basic,0.000202,0.000879,genomic_feature_28,Other_basic
95,genomic_feature_95,Other_basic,0.000197,0.000867,genomic_feature_351,Other_basic
246,genomic_feature_246,Other_basic,0.00019,0.000503,genomic_feature_175,Other_basic
300,genomic_feature_300,Other_basic,0.000181,0.000421,genomic_feature_97,Other_basic
21,genomic_feature_21,Other_basic,0.000176,0.001363,genomic_feature_334,Other_basic
311,genomic_feature_311,Other_basic,0.000171,0.00056,genomic_feature_195,Other_basic
294,genomic_feature_294,Other_basic,0.00016,0.000578,genomic_feature_240,Other_basic
191,genomic_feature_191,Other_basic,0.000158,0.000783,genomic_feature_35,Other_basic
131,genomic_feature_131,Other_basic,0.000147,0.000927,genomic_feature_50,Other_basic
122,genomic_feature_122,Other_basic,0.000133,0.000642,genomic_feature_339,Other_basic
61,genomic_feature_61,Other_basic,0.000129,0.001552,genomic_feature_283,Other_basic
314,genomic_feature_314,Other_basic,0.000127,0.00053,genomic_feature_297,Other_basic
350,genomic_feature_350,Other_basic,0.000122,0.000444,genomic_feature_75,Other_basic
141,genomic_feature_141,Other_basic,0.000106,0.000889,genomic_feature_19,Other_basic
212,genomic_feature_212,Other_basic,9.5e-05,0.000485,genomic_feature_151,Other_basic
352,genomic_feature_352,Other_basic,8.9e-05,0.000475,genomic_feature_313,Other_basic
290,genomic_feature_290,Other_basic,7.8e-05,0.000562,genomic_feature_243,Other_basic
319,genomic_feature_319,Other_basic,7.8e-05,0.000497,genomic_feature_52,Other_basic
81,genomic_feature_81,Other_basic,7.4e-05,0.000644,genomic_feature_103,Other_basic
247,genomic_feature_247,Other_basic,7.3e-05,0.000929,genomic_feature_1,Other_basic
35,genomic_feature_35,Other_basic,6.9e-05,0.001093,genomic_feature_292,Other_basic
295,genomic_feature_295,Other_basic,6.7e-05,0.000445,genomic_feature_308,Other_basic
73,genomic_feature_73,Other_basic,5.7e-05,0.000551,genomic_feature_341,Other_basic
288,genomic_feature_288,Other_basic,4.9e-05,0.00031,genomic_feature_40,Other_basic
343,genomic_feature_343,Other_basic,4.8e-05,0.001162,genomic_feature_253,Other_basic
169,genomic_feature_169,Other_basic,3.4e-05,0.000528,genomic_feature_104,Other_basic
286,genomic_feature_286,Other_basic,2.8e-05,0.000558,genomic_feature_209,Other_basic
232,genomic_feature_232,Other_basic,2.4e-05,0.000481,genomic_feature_106,Other_basic
85,genomic_feature_85,Other_basic,2.1e-05,0.001134,genomic_feature_303,Other_basic
129,genomic_feature_129,Other_basic,1.7e-05,0.000597,genomic_feature_163,Other_basic
31,genomic_feature_31,Other_basic,1e-06,0.000857,genomic_feature_185,Other_basic
0,genomic_feature_0,Other_basic,0.0,0.0,genomic_feature_320,Other_basic
148,genomic_feature_148,Other_basic,-3e-06,0.00051,genomic_feature_264,Other_basic
4,genomic_feature_4,Other_basic,-5e-06,0.001133,genomic_feature_102,Other_basic
266,genomic_feature_266,Other_basic,-7e-06,0.001711,genomic_feature_139,Other_basic
88,genomic_feature_88,Other_basic,-1.5e-05,0.001082,genomic_feature_338,Other_basic
245,genomic_feature_245,Other_basic,-2.7e-05,0.00082,genomic_feature_30,Other_basic
177,genomic_feature_177,Other_basic,-3e-05,0.000924,genomic_feature_294,Other_basic
267,genomic_feature_267,Other_basic,-3.1e-05,0.000585,genomic_feature_63,Other_basic
271,genomic_feature_271,Other_basic,-3.4e-05,0.000426,genomic_feature_299,Other_basic
346,genomic_feature_346,Other_basic,-3.5e-05,0.000265,genomic_feature_32,Other_basic
151,genomic_feature_151,Other_basic,-3.8e-05,0.000458,genomic_feature_256,Other_basic
342,genomic_feature_342,Other_basic,-4.1e-05,0.000527,genomic_feature_108,Other_basic
312,genomic_feature_312,Other_basic,-5.8e-05,0.00056,genomic_feature_172,Other_basic
18,genomic_feature_18,Other_basic,-7.2e-05,0.000641,genomic_feature_56,Other_basic
309,genomic_feature_309,Other_basic,-7.7e-05,0.000858,genomic_feature_156,Other_basic
259,genomic_feature_259,Other_basic,-7.9e-05,0.001474,genomic_feature_336,Other_basic
321,genomic_feature_321,Other_basic,-7.9e-05,0.000995,genomic_feature_305,Other_basic
176,genomic_feature_176,Other_basic,-9.2e-05,0.00049,genomic_feature_311,Other_basic
285,genomic_feature_285,Other_basic,-9.5e-05,0.000719,genomic_feature_218,Other_basic
216,genomic_feature_216,Other_basic,-0.000107,0.001678,genomic_feature_309,Other_basic
84,genomic_feature_84,Other_basic,-0.000109,0.00125,genomic_feature_146,Other_basic
333,genomic_feature_333,Other_basic,-0.000109,0.0006,genomic_feature_255,Other_basic
157,genomic_feature_157,Other_basic,-0.000114,0.00074,genomic_feature_142,Other_basic
208,genomic_feature_208,Other_basic,-0.000117,0.000454,genomic_feature_177,Other_basic
188,genomic_feature_188,Other_basic,-0.000117,0.000658,genomic_feature_319,Other_basic
144,genomic_feature_144,Other_basic,-0.000118,0.000707,genomic_feature_322,Other_basic
349,genomic_feature_349,Other_basic,-0.000124,0.000519,genomic_feature_258,Other_basic
291,genomic_feature_291,Other_basic,-0.000125,0.000512,genomic_feature_170,Other_basic
244,genomic_feature_244,Other_basic,-0.000127,0.000702,genomic_feature_100,Other_basic
340,genomic_feature_340,Other_basic,-0.000128,0.000702,genomic_feature_282,Other_basic
106,genomic_feature_106,Other_basic,-0.000136,0.000598,genomic_feature_184,Other_basic
224,genomic_feature_224,Other_basic,-0.000147,0.0006,genomic_feature_157,Other_basic
275,genomic_feature_275,Other_basic,-0.000153,0.00118,genomic_feature_126,Other_basic
234,genomic_feature_234,Other_basic,-0.000155,0.000978,genomic_feature_275,Other_basic
133,genomic_feature_133,Other_basic,-0.000155,0.000955,genomic_feature_39,Other_basic
229,genomic_feature_229,Other_basic,-0.000156,0.001163,genomic_feature_291,Other_basic
109,genomic_feature_109,Other_basic,-0.000158,0.000594,genomic_feature_160,Other_basic
276,genomic_feature_276,Other_basic,-0.00017,0.000523,genomic_feature_124,Other_basic
72,genomic_feature_72,Other_basic,-0.000173,0.001067,genomic_feature_105,Other_basic
304,genomic_feature_304,Other_basic,-0.000178,0.000437,genomic_feature_198,Other_basic
164,genomic_feature_164,Other_basic,-0.000189,0.000531,genomic_feature_23,Other_basic
330,genomic_feature_330,Other_basic,-0.000197,0.000643,genomic_feature_263,Other_basic
100,genomic_feature_100,Other_basic,-0.000204,0.000818,genomic_feature_155,Other_basic
30,genomic_feature_30,Other_basic,-0.000206,0.000953,genomic_feature_162,Other_basic
175,genomic_feature_175,Other_basic,-0.000215,0.000707,genomic_feature_21,Other_basic
1,genomic_feature_1,Other_basic,-0.000226,0.000696,genomic_feature_223,Other_basic
125,genomic_feature_125,Other_basic,-0.000234,0.001006,genomic_feature_112,Other_basic
101,genomic_feature_101,Other_basic,-0.000238,0.000541,genomic_feature_16,Other_basic
207,genomic_feature_207,Other_basic,-0.000245,0.000464,genomic_feature_245,Other_basic
130,genomic_feature_130,Other_basic,-0.000246,0.00065,genomic_feature_277,Other_basic
154,genomic_feature_154,Other_basic,-0.00025,0.000696,genomic_feature_355,Other_basic
42,genomic_feature_42,Other_basic,-0.000258,0.001031,genomic_feature_62,Other_basic
10,genomic_feature_10,Other_basic,-0.00026,0.000761,genomic_feature_278,Other_basic
11,genomic_feature_11,Other_basic,-0.000266,0.000996,genomic_feature_203,Other_basic
210,genomic_feature_210,Other_basic,-0.000277,0.000462,genomic_feature_271,Other_basic
215,genomic_feature_215,Other_basic,-0.000277,0.000806,genomic_feature_18,Other_basic
113,genomic_feature_113,Other_basic,-0.000293,0.000506,genomic_feature_53,Other_basic
336,genomic_feature_336,Other_basic,-0.000298,0.000514,genomic_feature_149,Other_basic
279,genomic_feature_279,Other_basic,-0.000318,0.00051,genomic_feature_89,Other_basic
135,genomic_feature_135,Other_basic,-0.00032,0.000635,genomic_feature_315,Other_basic
132,genomic_feature_132,Other_basic,-0.000323,0.000561,genomic_feature_323,Other_basic
298,genomic_feature_298,Other_basic,-0.000329,0.000477,genomic_feature_201,Other_basic
280,genomic_feature_280,Other_basic,-0.000342,0.000676,genomic_feature_13,Other_basic
324,genomic_feature_324,Other_basic,-0.000346,0.000612,genomic_feature_34,Other_basic
139,genomic_feature_139,Other_basic,-0.000353,0.000479,genomic_feature_3,Other_basic
63,genomic_feature_63,Other_basic,-0.000358,0.000646,genomic_feature_37,Other_basic
82,genomic_feature_82,Other_basic,-0.00036,0.000806,genomic_feature_302,Other_basic
348,genomic_feature_348,Other_basic,-0.00037,0.000462,genomic_feature_202,Other_basic
192,genomic_feature_192,Other_basic,-0.000393,0.000683,genomic_feature_295,Other_basic
299,genomic_feature_299,Other_basic,-0.000393,0.000628,genomic_feature_6,Other_basic
328,genomic_feature_328,Other_basic,-0.000398,0.000696,genomic_feature_220,Other_basic
