sample_index,gene_symbol,true_label,mean_percentile_rank,sd_percentile_rank,mean_rank,best_rank,consensus_rank,external_sets,n_external_sets,is_external_supported,n_external_sets_external,external_sets_external,external_evidence_strength,is_current_negative,is_current_positive
976,GRB14,0,0.194737,0.1101018958268506,1454.5,1174,1562,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
835,HNF1A,0,0.1849029999999999,0.1315446351496961,1472.25,1125,1582,Beta_cell_function_or_development,1,True,1.0,Beta_cell_function_or_development,single_source,True,False
1539,SLC30A8,0,0.18324075,0.0193475535468958,1475.25,1426,1587,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,2,True,2.0,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,moderate_two_source,True,False
1641,IGF2BP2,0,0.15554025,0.1068894553651107,1525.25,1247,1638,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
1133,HK1,0,0.148615,0.1301090390736426,1537.75,1210,1656,Glucose_metabolism_transport_or_insulin_secretion,1,True,1.0,Glucose_metabolism_transport_or_insulin_secretion,single_source,True,False
851,NDUFA8,0,0.1328254999999999,0.23876157732279,1566.25,920,1669,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
657,NDUFA6,0,0.1217449999999999,0.0311183995518192,1586.25,1540,1690,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
950,HNF4A,0,0.12119125,0.0151208847486955,1587.25,1562,1692,Beta_cell_function_or_development,1,True,1.0,Beta_cell_function_or_development,single_source,True,False
134,FTO,0,0.11218825,0.0528934441897103,1603.5,1497,1702,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
1587,NDUFS1,0,0.1051245,0.0904166486310273,1616.25,1373,1713,Mitochondrial_OXPHOS_complex_I,1,True,1.0,Mitochondrial_OXPHOS_complex_I,single_source,True,False
1144,TCF7L2,0,0.1013849999999999,0.1192847772489571,1623.0,1319,1721,Known_T2D_GWAS_or_genetic_risk,1,True,1.0,Known_T2D_GWAS_or_genetic_risk,single_source,True,False
512,PIK3R1,0,0.06094175,0.0233172574055497,1696.0,1640,1771,Glucose_metabolism_transport_or_insulin_secretion,1,True,1.0,Glucose_metabolism_transport_or_insulin_secretion,single_source,True,False
1482,PCSK1,0,0.021191,0.0151614954187683,1767.75,1742,1800,Beta_cell_function_or_development; Glucose_metabolism_transport_or_insulin_secretion,2,True,2.0,Beta_cell_function_or_development; Glucose_metabolism_transport_or_insulin_secretion,moderate_two_source,True,False
