model_key,top_n,theme,observed_count,observed_fraction,observed_genes,random_mean,random_sd,random_median,random_min,random_max,random_p025,random_p975,z_score_vs_random,enrichment_ratio_vs_random_mean,empirical_p_greater_equal,significant_empirical_p_0p05,n_random_permutations,universe_size
Multimodal_handcrafted,100,pancreatic_development,3,0.03,ISL1;NEUROD1;PDX1,1.488,0.9585,1.0,0,4,0.0,3.0,1.5774,2.0161,0.1499,False,1000,271
Multimodal_handcrafted,100,glucose_metabolism,2,0.02,SLC5A1;SLC5A2,1.125,0.8707,1.0,0,3,0.0,3.0,1.0049,1.7778,0.3197,False,1000,271
Multimodal_handcrafted,100,insulin_signalling,1,0.01,INSR,0.353,0.4781,0.0,0,1,0.0,1.0,1.3532,2.8329,0.3536,False,1000,271
Multimodal_handcrafted,100,lipid_metabolism,1,0.01,SCD5,0.363,0.4811,0.0,0,1,0.0,1.0,1.324,2.7548,0.3636,False,1000,271
Protein_only_ProtBERT_SW,50,mitochondrial_function,6,0.12,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1,1.861,1.2179,2.0,0,7,0.0,5.0,3.3986,3.2241,0.004,True,1000,271
Protein_only_ProtBERT_SW,50,oxidative_phosphorylation,6,0.12,NDUFA7;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1,1.861,1.2179,2.0,0,7,0.0,5.0,3.3986,3.2241,0.004,True,1000,271
Protein_only_ProtBERT_SW,50,known_t2d_gwas_or_monogenic,6,0.12,CACNA1D;GAD1;HHEX;IGF2BP2;INSR;NEUROD1,2.537,1.4159,2.0,0,9,0.0,5.0,2.4459,2.365,0.021,True,1000,271
Protein_only_ProtBERT_SW,50,beta_cell_biology,4,0.08,CACNA1D;GAD1;ISL1;NEUROD1,1.633,1.1312,2.0,0,6,0.0,4.0,2.0925,2.4495,0.0579,False,1000,271
Protein_only_ProtBERT_SW,50,pancreatic_development,2,0.04,ISL1;NEUROD1,0.713,0.7702,1.0,0,3,0.0,2.0,1.671,2.805,0.1568,False,1000,271
Protein_only_ProtBERT_SW,50,lipid_metabolism,1,0.02,SCD5,0.174,0.3793,0.0,0,1,0.0,1.0,2.1777,5.7471,0.1748,False,1000,271
Protein_only_ProtBERT_SW,50,insulin_signalling,1,0.02,INSR,0.176,0.381,0.0,0,1,0.0,1.0,2.1627,5.6818,0.1768,False,1000,271
Protein_only_ProtBERT_SW,50,glucose_metabolism,0,0.0,,0.579,0.6813,0.0,0,3,0.0,2.0,-0.8498,0.0,1.0,False,1000,271
Protein_only_ProtBERT_SW,100,mitochondrial_function,8,0.08,NDUFA2;NDUFA7;NDUFA9;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1,3.694,1.5161,4.0,0,9,1.0,7.0,2.8401,2.1657,0.006,True,1000,271
Protein_only_ProtBERT_SW,100,oxidative_phosphorylation,8,0.08,NDUFA2;NDUFA7;NDUFA9;NDUFB1;NDUFB2;NDUFB3;NDUFC2;NDUFV1,3.694,1.5161,4.0,0,9,1.0,7.0,2.8401,2.1657,0.006,True,1000,271
Protein_only_ProtBERT_SW,100,known_t2d_gwas_or_monogenic,10,0.1,CACNA1D;DPP4;GAD1;HHEX;IGF2BP2;INSR;KCNJ11;NEUROD1;PDX1;SLC5A1,5.241,1.7709,5.0,0,11,2.0,9.0,2.6873,1.908,0.01,True,1000,271
Protein_only_ProtBERT_SW,100,beta_cell_biology,7,0.07,CACNA1D;DPP4;GAD1;ISL1;KCNJ11;NEUROD1;PDX1,3.413,1.3958,3.0,0,9,1.0,6.0,2.5698,2.051,0.019,True,1000,271
Protein_only_ProtBERT_SW,100,pancreatic_development,3,0.03,ISL1;NEUROD1;PDX1,1.488,0.9585,1.0,0,4,0.0,3.0,1.5774,2.0161,0.1499,False,1000,271
Protein_only_ProtBERT_SW,100,glucose_metabolism,2,0.02,SLC5A1;SLC5A2,1.125,0.8707,1.0,0,3,0.0,3.0,1.0049,1.7778,0.3197,False,1000,271
Protein_only_ProtBERT_SW,100,insulin_signalling,1,0.01,INSR,0.353,0.4781,0.0,0,1,0.0,1.0,1.3532,2.8329,0.3536,False,1000,271
Protein_only_ProtBERT_SW,100,lipid_metabolism,1,0.01,SCD5,0.363,0.4811,0.0,0,1,0.0,1.0,1.324,2.7548,0.3636,False,1000,271
