sample_index,gene_symbol,true_label,mean_percentile_rank,sd_percentile_rank,mean_rank,best_rank,consensus_rank,external_sets_x,n_external_sets_x,is_external_supported,n_curated_pathways,curated_pathways,is_pathway_supported,n_external_sets_y,external_sets_y,n_external_sets,external_sets,relabel_audit_priority,external_evidence_strength,case_interpretation
692,NDUFA5,0,0.29058,0.09251,1281.5,1112,1342,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,low,single_source,Lower-priority / background candidate
1302,ADCY5,0,0.27632,0.11023,1307.25,1148,1370,Known_T2D_GWAS_or_genetic_risk,1,False,1,Known_T2D_GWAS_loci,True,1.0,Known_T2D_GWAS_or_genetic_risk,0,,low,single_source,Lower-priority / background candidate
680,NDUFB9,0,0.27202,0.19824,1315.0,939,1382,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,low,single_source,Lower-priority / background candidate
762,PAX4,0,0.26205,0.25654,1333.0,659,1408,Beta_cell_function_or_development,1,False,1,Beta_cell_function_development,True,1.0,Beta_cell_function_or_development,0,,low,single_source,Lower-priority / background candidate
947,NDUFA11,0,0.23366,0.08851,1384.25,1169,1474,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,low,single_source,Lower-priority / background candidate
74,NDUFA1,0,0.2277,0.05639,1395.0,1246,1488,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,low,single_source,Lower-priority / background candidate
820,NOTCH2,0,0.22244,0.13316,1404.5,1079,1501,Known_T2D_GWAS_or_genetic_risk,1,False,1,Known_T2D_GWAS_loci,True,1.0,Known_T2D_GWAS_or_genetic_risk,0,,low,single_source,Lower-priority / background candidate
67,DPP4,0,0.21648,0.03481,1415.25,1322,1515,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,2,False,1,Incretin_diabetes_pharmacology,True,2.0,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,0,,low,moderate_two_source,Lower-priority / background candidate
509,GLP1R,0,0.19737,0.04405,1449.75,1360,1552,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,2,False,2,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca,True,2.0,Diabetes_drug_targets_or_pharmacology; Glucose_metabolism_transport_or_insulin_secretion,0,,low,moderate_two_source,Lower-priority / background candidate
976,GRB14,0,0.19474,0.1101,1454.5,1174,1562,Known_T2D_GWAS_or_genetic_risk,1,False,2,Insulin_signalling; Known_T2D_GWAS_loci,True,1.0,Known_T2D_GWAS_or_genetic_risk,0,,low,single_source,Lower-priority / background candidate
835,HNF1A,0,0.1849,0.13154,1472.25,1125,1582,Beta_cell_function_or_development,1,False,1,Beta_cell_function_development,True,1.0,Beta_cell_function_or_development,0,,low,single_source,Lower-priority / background candidate
1539,SLC30A8,0,0.18324,0.01935,1475.25,1426,1587,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,2,False,3,Beta_cell_function_development; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,True,2.0,Beta_cell_function_or_development; Known_T2D_GWAS_or_genetic_risk,0,,low,moderate_two_source,Lower-priority / background candidate
