split,n,n_truncated,pct_truncated,mean_length,median_length,max_length
train,1274,263,20.6436420722135,744.5125588697017,555.0,7388
validation,273,65,23.809523809523807,869.7289377289377,576.0,34350
test,273,69,25.274725274725274,774.4322344322344,574.0,4861
