representation,model,train_roc_auc_mean,train_roc_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_pr_auc_mean,cv_pr_auc_std,cv_mcc_mean,cv_mcc_std,overfit_gap_train_minus_cv
ESM2_t12_35M_mean_pool_truncated_1022,SVM RBF,0.9380343392181789,0.0024997240840774998,0.7089947648645298,0.02634699386533184,0.6425932865707178,0.029399128477944916,0.7055697628599709,0.021045721523596555,0.29553261388433355,0.05569896619273761,0.22903957435364908
ESM2_t12_35M_mean_pool_truncated_1022,Random Forest,1.0,0.0,0.7023147843170686,0.033846736615377855,0.6445175516418074,0.030680012411351987,0.6984347812434917,0.031620912592343835,0.2889693167198249,0.05855385318393348,0.2976852156829314
ESM2_t12_35M_mean_pool_truncated_1022,LightGBM,1.0,0.0,0.6873387996775995,0.02215376279299301,0.6372134321926475,0.014130227029240824,0.6756011623041264,0.02302975076343972,0.27352496377315094,0.024522916057216494,0.3126612003224005
ESM2_t12_35M_mean_pool_truncated_1022,Logistic Regression,0.9542726939691475,0.004191520774791979,0.652623186496373,0.03151613233505532,0.6185614839979681,0.03206161878737211,0.6340718948484565,0.053777106323810525,0.24977220913121503,0.05838752932664636,0.3016495074727745
