model,feature_set,threshold,val_roc_auc,val_pr_auc,val_f1,val_mcc,test_roc_auc,test_pr_auc,test_f1,test_mcc,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
SVM RBF,K3 + K4 + Basic,0.5,0.6499183006535948,0.6691874616306227,0.6071428571428571,0.1883326053317267,0.6764705882352942,0.6504049696069261,0.6619718309859155,0.2933420813226739,0.6457564575645757,0.6308724832214765,0.6962962962962963,0.5955882352941176,81,55,41,94
Soft Voting,K3 + K4 + Basic,0.5,0.6580610021786493,0.6936270488226873,0.6171003717472119,0.23996296011461912,0.6720043572984749,0.6489886254458386,0.6402877697841727,0.26260122274183173,0.6309963099630996,0.6223776223776224,0.6592592592592592,0.6029411764705882,82,54,46,89
Stacking,K3 + K4 + Basic,0.5,0.6592047930283224,0.6917353086000102,0.6176470588235294,0.23246187363834422,0.6715141612200435,0.6502049411333639,0.6402877697841727,0.26260122274183173,0.6309963099630996,0.6223776223776224,0.6592592592592592,0.6029411764705882,82,54,46,89
Logistic Regression,K3 + K4 + Basic,0.5,0.6535403050108933,0.6733807208980178,0.6171003717472119,0.23996296011461912,0.6592592592592592,0.6474768981141288,0.6258992805755396,0.23303540165207834,0.6162361623616236,0.6083916083916084,0.6444444444444445,0.5882352941176471,80,56,48,87
Random Forest,K3 + K4 + Basic,0.5,0.670751633986928,0.7044422891927502,0.6070038910505836,0.2564819200775122,0.6496187363834423,0.6327321999591006,0.6405693950177936,0.2556690043916305,0.6273062730627307,0.6164383561643836,0.6666666666666666,0.5882352941176471,80,56,45,90
LightGBM,K3 + K4 + Basic,0.5,0.6328976034858388,0.6742204387975226,0.5955882352941176,0.18818082788671023,0.649400871459695,0.6230163932752648,0.6126760563380281,0.18950369202073095,0.5940959409594095,0.5838926174496645,0.6444444444444445,0.5441176470588235,74,62,48,87
