integration_error_group,n,mean_protein_score,mean_combined_score,mean_delta_combined_minus_protein,median_delta_combined_minus_protein
both_correct,164,0.49882299261693447,0.5014176687047098,0.0025946760877752846,-0.0011211568408224237
both_wrong,74,0.46578222581064616,0.4712584887597297,0.00547626294908357,0.004680913361858163
combined_correct_protein_wrong,18,0.5586022273290956,0.4471287052328184,-0.1114735220962772,-0.1147550078711485
protein_correct_combined_wrong,15,0.5221470403260905,0.49553800869340486,-0.026609031632685607,-0.02462360142526676
