split_id,model_name,n_train,n_val,n_test,validation_mcc,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,matched_repeat,matching_strategy,n_matched_total
2,Early_fusion_Protein_DNABERT2,1126,282,352,0.33949,0.70745,0.71238,0.64489,0.61644,0.76705,0.52273,0.68354,0.29883,92,84,41,135,0.39644,5,gene_symbol_length_bin_matched,1760
3,Early_fusion_Protein_DNABERT2,1126,282,352,0.46904,0.74511,0.75425,0.69034,0.69591,0.67614,0.70455,0.68588,0.38084,124,52,57,119,0.5084,5,gene_symbol_length_bin_matched,1760
4,Early_fusion_Protein_DNABERT2,1126,282,352,0.31235,0.76119,0.72371,0.6733,0.62551,0.86364,0.48295,0.72554,0.37481,85,91,24,152,0.34409,5,gene_symbol_length_bin_matched,1760
5,Early_fusion_Protein_DNABERT2,1126,282,352,0.39331,0.73573,0.74484,0.6392,0.59761,0.85227,0.42614,0.70258,0.30775,75,101,26,150,0.37121,5,gene_symbol_length_bin_matched,1760
6,Early_fusion_Protein_DNABERT2,1126,282,352,0.34118,0.7263,0.7307,0.6108,0.57708,0.82955,0.39205,0.68065,0.24643,69,107,30,146,0.35025,5,gene_symbol_length_bin_matched,1760
7,Early_fusion_Protein_DNABERT2,1126,282,352,0.4416,0.70629,0.68897,0.63068,0.65753,0.54545,0.71591,0.59627,0.26525,126,50,80,96,0.51744,5,gene_symbol_length_bin_matched,1760
8,Early_fusion_Protein_DNABERT2,1126,282,352,0.43157,0.72584,0.70414,0.61932,0.73864,0.36932,0.86932,0.49242,0.27555,153,23,111,65,0.67255,5,gene_symbol_length_bin_matched,1760
9,Early_fusion_Protein_DNABERT2,1126,282,352,0.45625,0.68082,0.64368,0.59375,0.7037,0.32386,0.86364,0.44358,0.22273,152,24,119,57,0.68028,5,gene_symbol_length_bin_matched,1760
10,Early_fusion_Protein_DNABERT2,1126,282,352,0.2609,0.7798,0.76958,0.71023,0.68137,0.78977,0.63068,0.73158,0.42588,111,65,37,139,0.4204,5,gene_symbol_length_bin_matched,1760
11,Early_fusion_Protein_DNABERT2,1126,282,352,0.37167,0.72235,0.68559,0.64489,0.60159,0.85795,0.43182,0.70726,0.32031,76,100,25,151,0.37451,5,gene_symbol_length_bin_matched,1760
12,Early_fusion_Protein_DNABERT2,1126,282,352,0.34157,0.74635,0.73691,0.62216,0.58366,0.85227,0.39205,0.69284,0.27519,69,107,26,150,0.34071,5,gene_symbol_length_bin_matched,1760
13,Early_fusion_Protein_DNABERT2,1126,282,352,0.36404,0.74842,0.72628,0.6733,0.64186,0.78409,0.5625,0.70588,0.35543,99,77,38,138,0.40885,5,gene_symbol_length_bin_matched,1760
14,Early_fusion_Protein_DNABERT2,1126,282,352,0.34808,0.73178,0.74856,0.67898,0.69811,0.63068,0.72727,0.66269,0.35964,128,48,65,111,0.52858,5,gene_symbol_length_bin_matched,1760
15,Early_fusion_Protein_DNABERT2,1126,282,352,0.4231,0.73896,0.72238,0.67045,0.64423,0.76136,0.57955,0.69792,0.34669,102,74,42,134,0.42169,5,gene_symbol_length_bin_matched,1760
