feature_index,feature_name,coefficient,abs_coefficient,block,feature_group
1155,dnabert2_emb_131,0.3307905,0.3307905,Genomic_DNABERT2_block,DNABERT2_embedding
508,protein_emb_508,0.3300383,0.3300383,Protein_ProtBERT_SW_block,Protein_embedding
1710,dnabert2_emb_686,0.32999079,0.32999079,Genomic_DNABERT2_block,DNABERT2_embedding
1646,dnabert2_emb_622,-0.32906009,0.32906009,Genomic_DNABERT2_block,DNABERT2_embedding
539,protein_emb_539,-0.32843481,0.32843481,Protein_ProtBERT_SW_block,Protein_embedding
1339,dnabert2_emb_315,0.3281229,0.3281229,Genomic_DNABERT2_block,DNABERT2_embedding
1109,dnabert2_emb_85,-0.32811268,0.32811268,Genomic_DNABERT2_block,DNABERT2_embedding
1041,dnabert2_emb_17,0.32741196,0.32741196,Genomic_DNABERT2_block,DNABERT2_embedding
1198,dnabert2_emb_174,-0.32677605,0.32677605,Genomic_DNABERT2_block,DNABERT2_embedding
263,protein_emb_263,0.32652835,0.32652835,Protein_ProtBERT_SW_block,Protein_embedding
1694,dnabert2_emb_670,0.32600446,0.32600446,Genomic_DNABERT2_block,DNABERT2_embedding
597,protein_emb_597,-0.32515566,0.32515566,Protein_ProtBERT_SW_block,Protein_embedding
745,protein_emb_745,0.32448838,0.32448838,Protein_ProtBERT_SW_block,Protein_embedding
402,protein_emb_402,0.32366467,0.32366467,Protein_ProtBERT_SW_block,Protein_embedding
264,protein_emb_264,0.32356245,0.32356245,Protein_ProtBERT_SW_block,Protein_embedding
682,protein_emb_682,-0.32310141,0.32310141,Protein_ProtBERT_SW_block,Protein_embedding
648,protein_emb_648,0.32306053,0.32306053,Protein_ProtBERT_SW_block,Protein_embedding
798,protein_emb_798,0.32283474,0.32283474,Protein_ProtBERT_SW_block,Protein_embedding
1528,dnabert2_emb_504,0.31966578,0.31966578,Genomic_DNABERT2_block,DNABERT2_embedding
1330,dnabert2_emb_306,0.31934977,0.31934977,Genomic_DNABERT2_block,DNABERT2_embedding
1278,dnabert2_emb_254,-0.31902265,0.31902265,Genomic_DNABERT2_block,DNABERT2_embedding
1587,dnabert2_emb_563,0.31875537,0.31875537,Genomic_DNABERT2_block,DNABERT2_embedding
1542,dnabert2_emb_518,-0.31857544,0.31857544,Genomic_DNABERT2_block,DNABERT2_embedding
1078,dnabert2_emb_54,0.3184597,0.3184597,Genomic_DNABERT2_block,DNABERT2_embedding
1722,dnabert2_emb_698,0.31721658,0.31721658,Genomic_DNABERT2_block,DNABERT2_embedding
535,protein_emb_535,-0.31711286,0.31711286,Protein_ProtBERT_SW_block,Protein_embedding
72,protein_emb_72,0.31702809,0.31702809,Protein_ProtBERT_SW_block,Protein_embedding
38,protein_emb_38,-0.31633241,0.31633241,Protein_ProtBERT_SW_block,Protein_embedding
702,protein_emb_702,-0.3163091,0.3163091,Protein_ProtBERT_SW_block,Protein_embedding
1447,dnabert2_emb_423,-0.31579858,0.31579858,Genomic_DNABERT2_block,DNABERT2_embedding
400,protein_emb_400,0.31563241,0.31563241,Protein_ProtBERT_SW_block,Protein_embedding
1433,dnabert2_emb_409,0.31515292,0.31515292,Genomic_DNABERT2_block,DNABERT2_embedding
951,protein_emb_951,-0.3149585,0.3149585,Protein_ProtBERT_SW_block,Protein_embedding
911,protein_emb_911,0.31475526,0.31475526,Protein_ProtBERT_SW_block,Protein_embedding
1100,dnabert2_emb_76,0.31390307,0.31390307,Genomic_DNABERT2_block,DNABERT2_embedding
494,protein_emb_494,-0.31386191,0.31386191,Protein_ProtBERT_SW_block,Protein_embedding
1314,dnabert2_emb_290,0.31366294,0.31366294,Genomic_DNABERT2_block,DNABERT2_embedding
45,protein_emb_45,-0.31356272,0.31356272,Protein_ProtBERT_SW_block,Protein_embedding
764,protein_emb_764,0.31346929,0.31346929,Protein_ProtBERT_SW_block,Protein_embedding
1706,dnabert2_emb_682,-0.31326857,0.31326857,Genomic_DNABERT2_block,DNABERT2_embedding
801,protein_emb_801,0.31305325,0.31305325,Protein_ProtBERT_SW_block,Protein_embedding
