feature_index,feature_name,feature_group,importance_mean_pr_auc_drop,importance_sd_pr_auc_drop
331,genomic_feature_331,Other_basic,0.000638,0.001139
196,genomic_feature_196,Other_basic,0.000638,0.000435
128,genomic_feature_128,Other_basic,0.000619,0.000951
200,genomic_feature_200,Other_basic,0.000584,0.000694
233,genomic_feature_233,Other_basic,0.00058,0.00104
219,genomic_feature_219,Other_basic,0.000551,0.000676
339,genomic_feature_339,Other_basic,0.000541,0.000492
22,genomic_feature_22,Other_basic,0.000523,0.000954
222,genomic_feature_222,Other_basic,0.000501,0.000609
112,genomic_feature_112,Other_basic,0.000495,0.000535
107,genomic_feature_107,Other_basic,0.000493,0.000595
48,genomic_feature_48,Other_basic,0.000474,0.000565
301,genomic_feature_301,Other_basic,0.000473,0.000888
163,genomic_feature_163,Other_basic,0.000472,0.000868
277,genomic_feature_277,Other_basic,0.000471,0.000701
50,genomic_feature_50,Other_basic,0.000466,0.000848
323,genomic_feature_323,Other_basic,0.000461,0.000481
39,genomic_feature_39,Other_basic,0.000457,0.000651
43,genomic_feature_43,Other_basic,0.00043,0.001702
315,genomic_feature_315,Other_basic,0.000425,0.001199
44,genomic_feature_44,Other_basic,0.000424,0.000917
316,genomic_feature_316,Other_basic,0.000408,0.000763
347,genomic_feature_347,Other_basic,0.000396,0.000567
3,genomic_feature_3,Other_basic,0.000392,0.00071
140,genomic_feature_140,Other_basic,0.000381,0.000632
19,genomic_feature_19,Other_basic,0.00037,0.00068
190,genomic_feature_190,Other_basic,0.000356,0.000835
287,genomic_feature_287,Other_basic,0.000354,0.00119
322,genomic_feature_322,Other_basic,0.000342,0.001029
14,genomic_feature_14,Other_basic,0.000334,0.000995
332,genomic_feature_332,Other_basic,0.000334,0.000752
293,genomic_feature_293,Other_basic,0.000333,0.000636
264,genomic_feature_264,Other_basic,0.000326,0.000517
123,genomic_feature_123,Other_basic,0.000313,0.000797
261,genomic_feature_261,Other_basic,0.000307,0.000802
256,genomic_feature_256,Other_basic,0.000294,0.000503
231,genomic_feature_231,Other_basic,0.000293,0.000698
296,genomic_feature_296,Other_basic,0.000293,0.000744
355,genomic_feature_355,Other_basic,0.000275,0.00083
344,genomic_feature_344,Other_basic,0.000263,0.00063
310,genomic_feature_310,Other_basic,0.000259,0.001025
142,genomic_feature_142,Other_basic,0.000259,0.00068
230,genomic_feature_230,Other_basic,0.000257,0.000479
87,genomic_feature_87,Other_basic,0.000255,0.000476
225,genomic_feature_225,Other_basic,0.000255,0.001179
214,genomic_feature_214,Other_basic,0.000251,0.000956
181,genomic_feature_181,Other_basic,0.000241,0.000843
161,genomic_feature_161,Other_basic,0.00024,0.000642
23,genomic_feature_23,Other_basic,0.000239,0.00067
91,genomic_feature_91,Other_basic,0.000233,0.000935
345,genomic_feature_345,Other_basic,0.000225,0.000476
45,genomic_feature_45,Other_basic,0.000224,0.000791
281,genomic_feature_281,Other_basic,0.000219,0.000682
104,genomic_feature_104,Other_basic,0.000213,0.000805
306,genomic_feature_306,Other_basic,0.000204,0.000579
325,genomic_feature_325,Other_basic,0.000202,0.000879
95,genomic_feature_95,Other_basic,0.000197,0.000867
246,genomic_feature_246,Other_basic,0.00019,0.000503
300,genomic_feature_300,Other_basic,0.000181,0.000421
21,genomic_feature_21,Other_basic,0.000176,0.001363
311,genomic_feature_311,Other_basic,0.000171,0.00056
294,genomic_feature_294,Other_basic,0.00016,0.000578
191,genomic_feature_191,Other_basic,0.000158,0.000783
131,genomic_feature_131,Other_basic,0.000147,0.000927
122,genomic_feature_122,Other_basic,0.000133,0.000642
61,genomic_feature_61,Other_basic,0.000129,0.001552
314,genomic_feature_314,Other_basic,0.000127,0.00053
350,genomic_feature_350,Other_basic,0.000122,0.000444
141,genomic_feature_141,Other_basic,0.000106,0.000889
212,genomic_feature_212,Other_basic,9.5e-05,0.000485
352,genomic_feature_352,Other_basic,8.9e-05,0.000475
290,genomic_feature_290,Other_basic,7.8e-05,0.000562
319,genomic_feature_319,Other_basic,7.8e-05,0.000497
81,genomic_feature_81,Other_basic,7.4e-05,0.000644
247,genomic_feature_247,Other_basic,7.3e-05,0.000929
35,genomic_feature_35,Other_basic,6.9e-05,0.001093
295,genomic_feature_295,Other_basic,6.7e-05,0.000445
73,genomic_feature_73,Other_basic,5.7e-05,0.000551
288,genomic_feature_288,Other_basic,4.9e-05,0.00031
343,genomic_feature_343,Other_basic,4.8e-05,0.001162
169,genomic_feature_169,Other_basic,3.4e-05,0.000528
286,genomic_feature_286,Other_basic,2.8e-05,0.000558
232,genomic_feature_232,Other_basic,2.4e-05,0.000481
85,genomic_feature_85,Other_basic,2.1e-05,0.001134
129,genomic_feature_129,Other_basic,1.7e-05,0.000597
31,genomic_feature_31,Other_basic,1e-06,0.000857
0,genomic_feature_0,Other_basic,0.0,0.0
148,genomic_feature_148,Other_basic,-3e-06,0.00051
4,genomic_feature_4,Other_basic,-5e-06,0.001133
266,genomic_feature_266,Other_basic,-7e-06,0.001711
88,genomic_feature_88,Other_basic,-1.5e-05,0.001082
245,genomic_feature_245,Other_basic,-2.7e-05,0.00082
177,genomic_feature_177,Other_basic,-3e-05,0.000924
267,genomic_feature_267,Other_basic,-3.1e-05,0.000585
271,genomic_feature_271,Other_basic,-3.4e-05,0.000426
346,genomic_feature_346,Other_basic,-3.5e-05,0.000265
151,genomic_feature_151,Other_basic,-3.8e-05,0.000458
342,genomic_feature_342,Other_basic,-4.1e-05,0.000527
312,genomic_feature_312,Other_basic,-5.8e-05,0.00056
18,genomic_feature_18,Other_basic,-7.2e-05,0.000641
