comparison,model_a,model_b,top_k,metric,model_a_value,model_b_value,delta
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,500,enrichment_factor_at_k,1.52,1.468,0.052
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,500,ndcg_at_k,0.76794,0.75402,0.01392
DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,500,average_precision_at_k,0.79996,0.80894,-0.00898
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,10,precision_at_k,0.7,0.7,0.0
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,10,recall_at_k,0.00775,0.00775,0.0
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,10,enrichment_factor_at_k,1.4,1.4,0.0
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,10,ndcg_at_k,0.7218,0.5965,0.1253
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,10,average_precision_at_k,0.75119,0.60833,0.14286
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,25,precision_at_k,0.8,0.8,0.0
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,25,recall_at_k,0.02215,0.02215,0.0
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,25,enrichment_factor_at_k,1.6,1.6,0.0
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,25,ndcg_at_k,0.78381,0.71581,0.068
