top_k,model_a,model_b,n_overlap,jaccard,overlap_genes
150,DNABERT2_multimodal,Protein_only_ProtBERT_SW,71,0.31004,ACADS; APOL5; ARL15; ATP13A1; ATP4B; B4GALNT1; BMAL1; CACNA2D3; CCDC188; CCDC57; COLGALT1; DENND2A; DTYMK; E4F1; EBAG9; EMILIN2; EML5; ETS1; FEZF1; FGD5; GCKR; GMDS; GPC5; GRM8; HAUS6; HHIPL1; HMGA1; HMGCR; JAG1; KCNK16; KIF16B; LRMDA; LRRC74A; LRRIQ1; METTL25B; MLXIPL; MYO5C; NBPF9; NDUFA7; NDUFV1; NEXMIF; NKX6-1; NLRC3; NRAP; PHGDH; QSOX1; RAET1L; RBM27; RGS18; RLF; RNF216; SEPTIN4; SLC2A7; SMARCAD1; TAF2; TBC1D3; THEMIS; TLCD4; TNRC6A; TOGARAM1; VDR; VN1R2; VWA5B1; WASHC2C; ZC3H13; ZFP64; ZNF326; ZNF329; ZNF462; ZNF544; ZNF747
150,Genomic_only_K3K4Basic,Handcrafted_multimodal,46,0.1811,ADAD1; AKAP11; AOC1; ATP4B; B4GALNT1; CACNA2D3; CAPN10; CDH24; CLIC5; COBLL1; COQ5; DENND2A; DNAH11; DTYMK; ETS1; GMDS; HCN4; HHIPL1; IL17REL; JAG1; KMT5B; LRRIQ1; MPPED2; MRPS14; MTOR; NBPF9; NDUFV1; OSBPL5; PACRG; PLA2G3; PNLIP; RBM27; RLF; SEC14L3; SLC22A10; SMARCAD1; SSX5; SYTL2; TAF11L9; TAF2; TCEANC2; TSC22D2; VDR; ZC3H12C; ZC3H13; ZNF329
150,Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,22,0.07914,ATP4B; B4GALNT1; CACNA2D3; DENND2A; DTYMK; ETS1; GMDS; HHIPL1; JAG1; LRRIQ1; MRPS14; NBPF9; NDUFV1; OSBPL5; RBM27; RLF; RNF216; SMARCAD1; TAF2; VDR; ZC3H13; ZNF329
150,Handcrafted_multimodal,Protein_only_ProtBERT_SW,100,0.5,ACADS; ACSL1; ANK1; APOL5; ARL15; ATP13A1; ATP4B; B4GALNT1; BMAL1; BMF; BPTF; CACNA2D3; CAMK2B; CCDC188; CCDC57; COL23A1; COLGALT1; DENND2A; DTYMK; E4F1; EBAG9; EMILIN2; EML5; EPHA7; ETS1; FADS2; FAM185A; FEZF1; FGD5; FGFR4; FITM2; GCKR; GMDS; GPC5; GRID1; GRM8; GRP; HAUS6; HHIPL1; HMGCR; IER5L; INS; JAG1; KCNK16; LDB2; LIPH; LRMDA; LRRC74A; LRRIQ1; MAGI2; MARCHF10; MEOX2; METTL25B; MLXIPL; MRPS14; MYBL2; MYO5C; NBPF9; NDUFA7; NDUFV1; NEXMIF; NKX6-1; NLRC3; OSBPL5; PCBD1; PCDH11Y; PHGDH; PIM3; PRSS37; RAET1L; RBM27; RGS18; RLF; RPAP1; SCAND3; SDCBP; SEPTIN4; SETD5; SHQ1; SLC12A8; SLC2A7; SLCO4A1; SMARCAD1; SMC2; TAF2; TBC1D3; THEMIS; TLCD4; TNRC6A; TOGARAM1; VDR; VN1R2; VWA5B1; WASHC2C; WDR3; ZC3H13; ZNF329; ZNF431; ZNF462; ZNF747
200,DNABERT2_multimodal,Genomic_only_K3K4Basic,85,0.26984,ADAD1; AKAP11; ANKRD17; AOC1; APBB1; APOL5; ARID3B; ARMC8; ATP4B; B4GALNT1; C12ORF43; C1ORF167; C4ORF36; C8ORF88; CACNA2D3; CAPN10; CCDC188; CDC123; CDH24; CHRD; COQ5; CRTC1; DENND2A; DESI1; DNAH11; DNMT3A; DRC7; DTYMK; DYNC2I1; EML5; ETS1; FABP9; FAM90A26; FEZF1; GMDS; GRM8; HCN4; HHIPL1; IFIH1; JAG1; KMT5B; LINGO2; LRRIQ1; MDGA2; MRC2; MTOR; NBPF3; NBPF9; NDUFA12; NDUFS6; NDUFV1; NEXMIF; OR4D1; P2RY12; PACRG; PCDHGB5; PIGT; PLA2G3; PNLIP; PTCHD4; RBM27; RLF; RNF216; RRP12; SEC14L3; SEPTIN4; SH3YL1; SIGLEC9; SLC22A10; SMARCAD1; SSX5; TAF11L9; TAF2; TECPR2; TOGARAM1; TSC22D2; UBE2E2; VDR; ZBTB38; ZC3H12C; ZC3H13; ZNF329; ZNF431; ZNF704; ZNF879
200,DNABERT2_multimodal,Handcrafted_multimodal,130,0.48148,ABCA8; ACADS; ADAD1; AKAP11; ANK1; ANKMY1; AOC1; APOL5; ARID3B; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; C8ORF88; CACNA2D3; CAPN10; CCDC188; CCDC57; CDH24; CFAP65; CHERP; CHRD; CLEC18A; COLGALT1; COQ5; CRTC1; DENND2A; DNAH11; DNAJC10; DTYMK; DYNC2I1; E4F1; EBAG9; EMILIN2; EML5; EPHA7; ETS1; FAM90A26; FEZF1; FGD5; FN3KRP; GCKR; GMDS; GPC5; GRM8; GRP; HAUS6; HCN4; HHIPL1; HMGCR; IGF2BP3; JAG1; KCNB2; KCNK16; KIF16B; KMT5B; KRT81; LINGO2; LRMDA; LRRC74A; LRRIQ1; MDGA2; METTL25B; MLXIPL; MTOR; MYO5C; NBPF9; NDUFA7; NDUFB11; NDUFV1; NEXMIF; NKX6-1; NLRC3; NRAP; NSD3; OCRL; OR1L1; PACRG; PCNT; PHGDH; PKD1; PLA2G3; PNLIP; PRSS37; QSOX1; RAET1L; RBM27; RGS18; RLF; RNF216; SCAND3; SEC14L3; SEPTIN12; SEPTIN4; SETD5; SLC12A8; SLC22A10; SLC2A7; SMARCAD1; SSX5; SYDE2; TAF11L9; TAF2; TBC1D3; TECPR2; THEMIS; TLCD4; TLE4; TNRC6A; TOGARAM1; TSC22D2; UBE2E2; USP48; VDR; VN1R2; VWA5B1; WASHC2C; WDR11; ZBTB39; ZC3H12C; ZC3H13; ZNF329; ZNF431; ZNF462; ZNF544; ZNF689; ZNF704; ZNF747
200,DNABERT2_multimodal,Protein_only_ProtBERT_SW,112,0.38889,ACADS; ADAD1; ADAMTS9; ALS2; ANK1; AOC1; APOL5; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; CACNA2D3; CCDC188; CCDC57; CDH24; CHRD; COLGALT1; COQ5; DENND2A; DNAH11; DTYMK; E4F1; EBAG9; EIF4E2; EMILIN2; EML5; EPHA7; ETS1; FEZF1; FGD5; FN3KRP; GCKR; GMDS; GPC5; GRM8; GRP; HAUS6; HHIPL1; HMGA1; HMGCR; JAG1; KCNB2; KCNK16; KIF16B; KRT81; LRMDA; LRRC74A; LRRIQ1; MEF2C; METTL25B; MLXIPL; MRPS30; MTHFD2; MYO5C; NBPF9; NDUFA7; NDUFB11; NDUFV1; NEXMIF; NKX6-1; NLRC3; NOXA1; NPEPL1; NRAP; NSD3; OR1L1; PACRG; PCNT; PHGDH; PKD1; PLA2G3; PRSS37; QSOX1; RAET1L; RBM27; RGS18; RLF; RNF216; SCAND3; SEPTIN4; SETD5; SLC12A8; SLC2A7; SMARCAD1; SPATA31A5; SSX5; TAF2; TBC1D3; THEMIS; TLCD4; TNRC6A; TOGARAM1; TSC22D2; USP48; VDR; VN1R2; VWA5B1; WASHC2C; ZBTB38; ZBTB39; ZC3H13; ZFP64; ZNF326; ZNF329; ZNF431; ZNF462; ZNF544; ZNF689; ZNF704; ZNF747
200,Genomic_only_K3K4Basic,Handcrafted_multimodal,77,0.23839,ACVR2A; ADAD1; AKAP11; AOC1; APOL5; ARID3B; ATP4B; B4GALNT1; C8ORF88; CACNA2D3; CAPN10; CCDC188; CDH24; CHRD; CLIC5; COBLL1; COQ5; CRTC1; DENND2A; DNAH11; DTYMK; DYNC2I1; EML5; ETS1; FAM149B1; FAM90A26; FEZF1; FITM2; GMDS; GRM8; HCN4; HHIPL1; IL17REL; JAG1; KDM5A; KMT5B; LINGO2; LRRIQ1; MAN1A2; MBOAT1; MDGA2; MGAM; MPPED2; MRPS14; MTOR; NBPF9; NDUFV1; NEXMIF; OSBPL5; PACRG; PLA2G3; PNLIP; RBM27; RGS6; RLF; RNF166; RNF216; SEC14L3; SEPTIN4; SHQ1; SLC22A10; SMARCAD1; SSX5; SYTL2; TAF11L9; TAF2; TCEANC2; TECPR2; TOGARAM1; TSC22D2; UBE2E2; VDR; ZC3H12C; ZC3H13; ZNF329; ZNF431; ZNF704
200,Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,47,0.13314,ADAD1; AOC1; APOL5; ATP4B; B4GALNT1; CACNA2D3; CCDC188; CDH24; CHRD; COBLL1; COQ5; DENND2A; DNAH11; DTYMK; EML5; ETS1; FEZF1; FITM2; GMDS; GRM8; HHIPL1; JAG1; LRRIQ1; MPPED2; MRPS14; NBPF9; NDUFV1; NEXMIF; OSBPL5; PACRG; PLA2G3; RBM27; RLF; RNF216; SEPTIN4; SHQ1; SMARCAD1; SSX5; TAF2; TOGARAM1; TSC22D2; VDR; ZBTB38; ZC3H13; ZNF329; ZNF431; ZNF704
200,Handcrafted_multimodal,Protein_only_ProtBERT_SW,143,0.55642,ACADS; ACSL1; ADAD1; ANK1; AOC1; APOL5; ARL15; ATP13A1; ATP4B; B4GALNT1; BHMT; BMAL1; BMF; BPTF; CACNA2D3; CAMK2B; CCDC188; CCDC57; CDH24; CHRD; COBLL1; COL23A1; COLGALT1; COQ5; DENND2A; DNAH11; DTYMK; E4F1; EBAG9; EMILIN2; EML5; EPHA7; ETS1; FADS2; FAM185A; FEZF1; FGD5; FGFR4; FITM2; FMO5; FN3KRP; GAL3ST2; GCKR; GDF7; GMDS; GPC5; GRID1; GRM8; GRP; HAUS6; HHIPL1; HMGCR; HSF2; IER5L; INS; JAG1; KCNB2; KCNK16; KIF16B; KRT81; LDB2; LIPH; LRMDA; LRRC74A; LRRIQ1; MAGI2; MARCHF10; MAST2; MEOX2; METTL25B; MIER2; MLXIPL; MPPED2; MRPS14; MYBL2; MYO5C; NADK2; NBPF9; NDUFA7; NDUFB11; NDUFV1; NEXMIF; NKX6-1; NLRC3; NRAP; NSD3; NUDT4B; OR1L1; OSBPL5; PACRG; PCBD1; PCDH11Y; PCNT; PHGDH; PIM3; PKD1; PLA2G3; POU5F1B; PRSS37; QSOX1; RAET1L; RBM27; RGS18; RLF; RNF216; RPAP1; SARDH; SCAND3; SCARB2; SDCBP; SEPTIN4; SETD5; SHQ1; SLC12A8; SLC2A7; SLCO4A1; SLCO6A1; SMARCAD1; SMC2; SSX5; TAF2; TBC1D3; THEMIS; TLCD4; TNRC6A; TOGARAM1; TRIM66; TSC22D2; USP48; VDR; VN1R2; VWA5B1; WASHC2C; WDR3; ZBTB39; ZC3H13; ZNF329; ZNF431; ZNF462; ZNF544; ZNF689; ZNF704; ZNF747
