scenario_name,comparison,model_a,model_b,metric,mean_delta,sd_delta,ci95_low,ci95_high,wins_model_a,wins_model_b,ties,wilcoxon_p,wilcoxon_bh_fdr_within_scenario
Hard_Negatives_Closest,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02389,0.02055,0.01353,0.03321,12,3,0,0.00201,0.00403
Hard_Negatives_Closest,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.05696,0.06432,0.02378,0.08603,13,2,0,0.00427,0.0076
Hard_Negatives_Closest,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.02116,0.0164,0.01284,0.02935,13,2,0,0.00061,0.0014
Hard_Negatives_Closest,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,f1,-0.01301,0.1027,-0.05962,0.03721,5,10,0,0.3028,0.37267
Hard_Negatives_Closest,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,pr_auc,0.067,0.02427,0.05497,0.07854,15,0,0,6e-05,0.00033
Hard_Negatives_Closest,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,mcc,0.10089,0.08514,0.05962,0.14438,14,1,0,0.00031,0.00122
Hard_Negatives_Closest,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,roc_auc,0.06916,0.02642,0.05571,0.08198,15,0,0,6e-05,0.00033
Hard_Negatives_Closest,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,f1,0.12628,0.11627,0.07471,0.18511,15,0,0,6e-05,0.00033
Original_All,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,pr_auc,0.00099,0.01699,-0.00815,0.00865,10,5,0,0.3894,0.51921
Original_All,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,mcc,0.00662,0.04243,-0.01398,0.02839,8,7,0,0.5614,0.68513
Original_All,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,roc_auc,0.00168,0.00883,-0.00235,0.00623,7,8,0,0.76154,0.8123
Original_All,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,f1,0.00264,0.0714,-0.03029,0.0393,7,8,0,0.93408,0.93408
Original_All,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.01967,0.01807,0.01096,0.02858,14,1,0,0.00018,0.00073
Original_All,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,mcc,0.00698,0.05302,-0.01764,0.03255,8,7,0,0.59949,0.68513
Original_All,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01172,0.0139,0.0043,0.01832,13,2,0,0.00537,0.01228
Original_All,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,f1,-0.02667,0.05718,-0.05655,-0.0001,4,11,0,0.12054,0.2143
Original_All,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02065,0.02484,0.00739,0.03211,13,2,0,0.00836,0.01672
Original_All,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.0136,0.05196,-0.01133,0.04009,8,7,0,0.3894,0.51921
Original_All,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01339,0.01341,0.00665,0.01993,11,4,0,0.00427,0.01139
Original_All,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,f1,-0.02403,0.07926,-0.0637,0.0147,5,10,0,0.25238,0.40381
Original_All,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,pr_auc,0.05748,0.03453,0.04022,0.07442,14,1,0,0.00012,0.00065
Original_All,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,mcc,0.12361,0.07598,0.08464,0.16092,13,2,0,0.00031,0.00098
Original_All,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,roc_auc,0.08047,0.03598,0.0626,0.09792,15,0,0,6e-05,0.00049
Original_All,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,f1,0.16014,0.09474,0.11654,0.2078,15,0,0,6e-05,0.00049
Random_Negatives_1,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,pr_auc,0.00236,0.01951,-0.00607,0.01263,6,9,0,0.93408,0.93408
Random_Negatives_1,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,mcc,0.00087,0.0595,-0.02571,0.03199,8,7,0,0.67877,0.77574
Random_Negatives_1,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,roc_auc,0.00228,0.01449,-0.0045,0.00923,8,7,0,0.67877,0.77574
Random_Negatives_1,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,f1,0.04636,0.08698,0.00693,0.09255,10,5,0,0.04791,0.07666
Random_Negatives_1,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02238,0.01613,0.01442,0.0298,13,2,0,0.00061,0.00326
Random_Negatives_1,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,mcc,0.02503,0.05298,-0.00216,0.04992,11,4,0,0.04126,0.07666
Random_Negatives_1,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.00885,0.01237,0.00292,0.01465,11,4,0,0.02155,0.05745
Random_Negatives_1,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,f1,-0.02078,0.09925,-0.07177,0.02592,8,7,0,0.76154,0.8123
Random_Negatives_1,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02474,0.02318,0.0138,0.03618,13,2,0,0.00153,0.00488
Random_Negatives_1,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.02591,0.05729,-0.00102,0.05279,10,5,0,0.13538,0.1805
Random_Negatives_1,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01113,0.02011,0.00134,0.0203,12,3,0,0.04791,0.07666
Random_Negatives_1,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,f1,0.02558,0.05835,-0.00246,0.05487,11,4,0,0.073,0.10618
Random_Negatives_1,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,pr_auc,0.05766,0.04357,0.03684,0.07895,14,1,0,0.00012,0.00098
Random_Negatives_1,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,mcc,0.10002,0.09616,0.05383,0.14771,13,2,0,0.00116,0.00464
Random_Negatives_1,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,roc_auc,0.07945,0.0377,0.06081,0.09763,15,0,0,6e-05,0.00098
Random_Negatives_1,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,f1,0.08731,0.14703,0.0173,0.16068,13,2,0,0.03534,0.07666
