gene,source_file,source_file_name,model_guess,gene_col,score_col,rank_col,score_value,rank_value,context_rank,context_score,context_list_name,context_theme,context_group,context_model_name
INSR,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_top50_genes.csv,Genomic_only_K3K4Basic_top50_genes.csv,Protein_only,gene_symbol,score,rank,0.6153709565053702,33.0,33.0,0.6153709565053702,Genomic_only_K3K4Basic_top50,,,
DPP4,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_top50_genes.csv,Genomic_only_K3K4Basic_top50_genes.csv,Protein_only,gene_symbol,score,rank,0.6147061541331904,34.0,34.0,0.6147061541331904,Genomic_only_K3K4Basic_top50,,,
GAD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Genomic_only_K3K4Basic_top50_genes.csv,Genomic_only_K3K4Basic_top50_genes.csv,Protein_only,gene_symbol,score,rank,0.6086926205080248,40.0,40.0,0.6086926205080248,Genomic_only_K3K4Basic_top50,,,
MTNR1B,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_FN_genes.csv,Multimodal_DNABERT2_FN_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.4233230183733721,157.0,157.0,0.4233230183733721,,,,
NDUFA13,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_FN_genes.csv,Multimodal_DNABERT2_FN_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.4408204953777072,151.0,151.0,0.4408204953777072,,,,
CACNA1D,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8603972774622827,2.0,2.0,0.8603972774622827,,,,
GAD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8364516684739696,5.0,5.0,0.8364516684739696,,,,
INSR,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8328189732305473,6.0,6.0,0.8328189732305473,,,,
NDUFV1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7828726253062582,13.0,13.0,0.7828726253062582,,,,
NDUFB2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7672387857513145,18.0,18.0,0.7672387857513145,,,,
HHEX,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7532621177071895,26.0,26.0,0.7532621177071895,,,,
SCD5,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.74550104985935,31.0,31.0,0.74550104985935,,,,
NEUROD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7195274912875872,39.0,39.0,0.7195274912875872,,,,
PDX1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7017176946600953,47.0,47.0,0.7017176946600953,,,,
IGF2BP2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6880293477594035,50.0,50.0,0.6880293477594035,,,,
NDUFB1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6809238029346082,55.0,55.0,0.6809238029346082,,,,
DPP4,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6764723549333719,57.0,57.0,0.6764723549333719,,,,
SLC5A1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6507516343860136,74.0,74.0,0.6507516343860136,,,,
KCNJ11,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6454657872147738,78.0,78.0,0.6454657872147738,,,,
NDUFA7,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.5870253232613809,98.0,98.0,0.5870253232613809,,,,
NDUFB3,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.5697327806492395,104.0,104.0,0.5697327806492395,,,,
ABCC8,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_TP_genes.csv,Multimodal_DNABERT2_TP_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.5326113114195594,115.0,115.0,0.5326113114195594,,,,
CACNA1D,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8603972774622827,2.0,2.0,0.8603972774622827,Multimodal_DNABERT2_top100,,,
GAD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8364516684739696,5.0,5.0,0.8364516684739696,Multimodal_DNABERT2_top100,,,
INSR,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8328189732305473,6.0,6.0,0.8328189732305473,Multimodal_DNABERT2_top100,,,
NDUFV1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7828726253062582,13.0,13.0,0.7828726253062582,Multimodal_DNABERT2_top100,,,
