official_feature_set,official_modality,official_model,tuned_for,best_threshold,val_f1,val_mcc,val_roc_auc,val_pr_auc,val_recall_sensitivity,val_specificity,test_f1,test_mcc,test_roc_auc,test_pr_auc,test_recall_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
Combined Protein+Genomic,multimodal,SVM RBF,f1,0.4020000000000003,0.7255520504731862,0.3786850062032209,0.7297930283224401,0.7084977865893352,0.8455882352941176,0.5111111111111111,0.6801346801346801,0.30551641569775956,0.7289760348583878,0.7572529106696753,0.7481481481481481,0.5514705882352942,75,61,34,101
Combined Protein+Genomic,multimodal,SVM RBF,mcc,0.43900000000000033,0.7242524916943521,0.39615572184046527,0.7297930283224401,0.7084977865893352,0.8014705882352942,0.5851851851851851,0.6596491228070176,0.2861729069809747,0.7289760348583878,0.7572529106696753,0.6962962962962963,0.5882352941176471,80,56,41,94
Combined Protein+Genomic,multimodal,SVM RBF,balanced_accuracy,0.44200000000000034,0.7205387205387206,0.39379835135326324,0.7297930283224401,0.7084977865893352,0.7867647058823529,0.6,0.6501766784452296,0.27086998529272494,0.7289760348583878,0.7572529106696753,0.6814814814814815,0.5882352941176471,80,56,43,92
Combined Protein+Genomic,multimodal,SVM RBF,youden_j,0.44200000000000034,0.7205387205387206,0.39379835135326324,0.7297930283224401,0.7084977865893352,0.7867647058823529,0.6,0.6501766784452296,0.27086998529272494,0.7289760348583878,0.7572529106696753,0.6814814814814815,0.5882352941176471,80,56,43,92
