split_id,fusion_model,fusion_type,n_train,n_val,n_test,validation_mcc,selected_weight_protein,selected_weight_genomic,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,meta_feature_names
13,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.44175,0.5,0.5,0.71992,0.71379,0.62881,0.65972,0.52778,0.72928,0.58642,0.26248,132,49,85,95,0.53726,
13,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.40696,,,0.70973,0.70061,0.63712,0.65605,0.57222,0.70166,0.61128,0.27623,127,54,77,103,0.55091,protein_score; handcrafted_genomic_score
13,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.42638,,,0.7151,0.70983,0.63989,0.66447,0.56111,0.71823,0.60843,0.28289,130,51,79,101,0.54828,protein_score; dnabert2_genomic_score
13,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.42907,,,0.72296,0.71629,0.63712,0.65217,0.58333,0.69061,0.61584,0.27555,125,56,75,105,0.54208,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
14,Protein_only,single_modality,1156,289,361,0.35668,,,0.75531,0.75026,0.68421,0.65581,0.77901,0.58889,0.71212,0.3748,106,74,40,141,0.46154,
14,Handcrafted_genomic_only,single_modality,1156,289,361,0.2564,,,0.62225,0.62403,0.58172,0.65306,0.35359,0.81111,0.45878,0.18518,146,34,117,64,0.56305,
14,DNABERT2_genomic_only,single_modality,1156,289,361,0.25958,,,0.61483,0.61888,0.58172,0.64151,0.37569,0.78889,0.47387,0.18069,142,38,113,68,0.5736,
14,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.34453,,,0.75374,0.71692,0.66482,0.80612,0.43646,0.89444,0.56631,0.37204,161,19,102,79,0.65054,
14,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.37148,,,0.74128,0.71223,0.68144,0.65865,0.75691,0.60556,0.70437,0.36674,109,71,44,137,0.45728,
14,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.35852,0.65,0.35,0.76093,0.74792,0.65651,0.60674,0.89503,0.41667,0.72321,0.35513,75,105,19,162,0.41419,
14,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.37628,0.7,0.3,0.75902,0.74353,0.68144,0.64103,0.82873,0.53333,0.72289,0.3791,96,84,31,150,0.44401,
14,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.35237,,,0.76001,0.75014,0.68144,0.63866,0.83978,0.52222,0.72554,0.3819,94,86,29,152,0.46079,protein_score; handcrafted_genomic_score
14,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.37536,,,0.75734,0.73963,0.68698,0.64783,0.8232,0.55,0.72506,0.38808,99,81,32,149,0.46889,protein_score; dnabert2_genomic_score
14,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.3632,,,0.75752,0.73754,0.67036,0.63136,0.8232,0.51667,0.71463,0.35717,93,87,32,149,0.46482,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
15,Protein_only,single_modality,1156,289,361,0.39222,,,0.71903,0.67629,0.65374,0.61667,0.81768,0.48889,0.70309,0.32472,88,92,33,148,0.3859,
15,Handcrafted_genomic_only,single_modality,1156,289,361,0.29193,,,0.6388,0.62231,0.57618,0.71212,0.25967,0.89444,0.38057,0.19936,161,19,134,47,0.58859,
15,DNABERT2_genomic_only,single_modality,1156,289,361,0.34172,,,0.68404,0.67222,0.65097,0.75229,0.45304,0.85,0.56552,0.33004,153,27,99,82,0.56322,
15,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.46101,,,0.73435,0.72074,0.68144,0.67188,0.71271,0.65,0.69169,0.36344,117,63,52,129,0.47701,
15,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.46776,,,0.75052,0.73647,0.72022,0.71505,0.73481,0.70556,0.7248,0.44057,127,53,48,133,0.47362,
15,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.45555,0.5,0.5,0.73465,0.718,0.67036,0.68675,0.62983,0.71111,0.65706,0.34205,128,52,67,114,0.51366,
15,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.47404,0.55,0.45,0.75209,0.73087,0.69529,0.69399,0.70166,0.68889,0.6978,0.39058,124,56,54,127,0.49105,
15,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.42881,,,0.7325,0.71003,0.6759,0.66162,0.72376,0.62778,0.69129,0.3532,113,67,50,131,0.48309,protein_score; handcrafted_genomic_score
15,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.46052,,,0.75,0.72781,0.69529,0.70056,0.68508,0.70556,0.69274,0.39071,127,53,57,124,0.51787,protein_score; dnabert2_genomic_score
15,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.48179,,,0.74853,0.73198,0.69252,0.70349,0.66851,0.71667,0.68555,0.3856,129,51,60,121,0.51905,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
